REGION,DISTRICT,YEAR,CROP,AREA (HA),YIELD (MT/HA),PRODUCTION (MT)
CENTRAL,KOMENDA-EDINA-EGUAFO-ABIREM,2008,MAIZE,"12,840.30",1.5,"19,260.45"
CENTRAL,AJUMAKO-ENYAN-ESIAM,2008,MAIZE,"6,371.20",2,"12,742.40"
CENTRAL,AWUTU-EFUTU-SENYA,2008,MAIZE,"20,253.20",1.81,"36,577.28"
CENTRAL,GOMOA,2008,MAIZE,"7,699.25",2.5,"19,248.13"
CENTRAL,CAPE COAST,2008,MAIZE,"8,038.00",1.24,"9,967.12"
CENTRAL,AGONA,2008,MAIZE,"6,118.20",2.73,"16,702.69"
CENTRAL,UPPER DENKYIRA,2008,RICE,726,1.2,871.2
CENTRAL,TWIFO HERMAN LOWER DENKYIRA,2008,RICE,555.5,1.2,666.6
CENTRAL,ASSIN SOUTH,2008,RICE,550,1.2,660
CENTRAL,ASSIN NORTH,2008,RICE,"1,886.50",1.2,"2,263.80"
CENTRAL,ABURA-ASEBU-KWAMANKESE,2008,RICE,128.7,1.37,175.68
CENTRAL,ASIKUMA-ODOBEN-BRAKWA,2008,RICE,42.9,1.2,51.48
CENTRAL,GOMOA,2008,RICE,45,2.9,130.5
CENTRAL,UPPER DENKYIRA,2008,CASSAVA,"10,780.00",20.54,"221,421.20"
CENTRAL,TWIFO HERMAN LOWER DENKYIRA,2008,CASSAVA,"9,719.60",32,"311,027.20"
CENTRAL,ASSIN SOUTH,2008,CASSAVA,"4,061.20",12.69,"51,536.63"
CENTRAL,ASSIN NORTH,2008,CASSAVA,"10,230.00",13.06,"133,624.26"
CENTRAL,ABURA-ASEBU-KWAMANKESE,2008,CASSAVA,"5,011.27",9.07,"45,462.24"
CENTRAL,ASIKUMA-ODOBEN-BRAKWA,2008,CASSAVA,"4,473.70",13.35,"59,723.90"
CENTRAL,MFANTSIMAN,2008,CASSAVA,"11,004.35",9.44,"103,881.06"
CENTRAL,KOMENDA-EDINA-EGUAFO-ABIREM,2008,CASSAVA,"14,931.40",13.8,"206,053.32"
CENTRAL,AJUMAKO-ENYAN-ESIAM,2008,CASSAVA,"7,150.00",19.32,"138,138.00"
CENTRAL,AWUTU-EFUTU-SENYA,2008,CASSAVA,"30,782.40",13.13,"404,019.00"
CENTRAL,GOMOA,2008,CASSAVA,"3,824.00",14.77,"56,480.48"
CENTRAL,CAPE COAST,2008,CASSAVA,"7,488.00",16.47,"123,327.36"
CENTRAL,AGONA,2008,CASSAVA,"6,421.80",21.44,"137,689.81"
CENTRAL,UPPER DENKYIRA,2008,YAM,429,5.8,"2,488.20"
CENTRAL,TWIFO HERMAN LOWER DENKYIRA,2008,YAM,371.8,4.5,"1,673.10"
CENTRAL,ASSIN SOUTH,2008,YAM,77,5.45,419.65
CENTRAL,ASSIN NORTH,2008,YAM,201.3,5.51,"1,109.67"
CENTRAL,ABURA-ASEBU-KWAMANKESE,2008,YAM,103.5,5.36,554.24
CENTRAL,AJUMAKO-ENYAN-ESIAM,2008,YAM,865.7,4.4,"3,809.08"
CENTRAL,AWUTU-EFUTU-SENYA,2008,YAM,234.3,5.57,"1,303.88"
CENTRAL,GOMOA,2008,YAM,22.5,5.5,123.75
CENTRAL,AGONA,2008,YAM,597.3,9.07,"5,418.71"
EASTERN,BIRIM SOUTH,2008,MAIZE,"8,500.00",2.1,"17,850.00"
EASTERN,WEST AKIM,2008,MAIZE,"8,600.00",2.2,"18,920.00"
EASTERN,SUHUM KRABOA COALTAR,2008,MAIZE,"8,304.00",1.9,"15,777.60"
EASTERN,AKUAPIM SOUTH,2008,MAIZE,"3,800.00",1.6,"6,080.00"
EASTERN,AKUAPIM NORTH,2008,MAIZE,"9,350.00",2,"18,700.00"
EASTERN,NEW JUABEN,2008,MAIZE,"3,471.00",2.3,"7,983.30"
EASTERN,YILO KROBO,2008,MAIZE,"9,500.00",2.1,"19,950.00"
EASTERN,EAST AKIM,2008,MAIZE,"2,500.00",1.8,"4,500.00"
EASTERN,ATIWA,2008,MAIZE,"4,500.00",1.7,"7,650.00"
EASTERN,KWAEBIBIREM,2008,MAIZE,"6,500.00",2.3,"14,950.00"
EASTERN,BIRIM NORTH,2008,MAIZE,"7,000.00",2.1,"14,700.00"
EASTERN,KWAHU WEST,2008,MAIZE,"2,324.00",2.3,"5,345.20"
EASTERN,KWAHU WEST,2008,MAIZE,"4,100.00",1.6,"6,560.00"
EASTERN,FANTEAKWA,2008,MAIZE,"13,260.00",1.8,"23,868.00"
EASTERN,AFRAM PLAINS,2008,MAIZE,"28,800.00",2.1,"60,480.00"
EASTERN,ASUOGYAMAN,2008,MAIZE,"8,757.00",1.6,"14,011.20"
EASTERN,MANYA KROBO,2008,MAIZE,"13,045.00",1.8,"23,481.00"
EASTERN,BIRIM SOUTH,2008,RICE,"4,000.00",2.4,"9,600.00"
EASTERN,EAST AKIM,2008,RICE,0.5,1.5,0.75
EASTERN,ATIWA,2008,RICE,157,2.1,329.7
EASTERN,KWAEBIBIREM,2008,RICE,"1,200.00",3.3,"3,960.00"
EASTERN,BIRIM NORTH,2008,RICE,689,3,"2,067.00"
EASTERN,MANYA KROBO,2008,RICE,"1,000.00",1.8,"1,800.00"
EASTERN,BIRIM SOUTH,2008,CASSAVA,"15,053.00",14.2,"213,752.60"
EASTERN,WEST AKIM,2008,CASSAVA,"12,726.00",16.5,"209,979.00"
EASTERN,SUHUM KRABOA COALTAR,2008,CASSAVA,"12,800.00",15,"192,000.00"
EASTERN,AKUAPIM SOUTH,2008,CASSAVA,"9,200.00",26,"239,200.00"
EASTERN,AKUAPIM NORTH,2008,CASSAVA,"11,900.00",20,"238,000.00"
EASTERN,NEW JUABEN,2008,CASSAVA,"6,600.00",13.9,"91,740.00"
EASTERN,YILO KROBO,2008,CASSAVA,"8,425.00",14.1,"118,792.50"
EASTERN,EAST AKIM,2008,CASSAVA,"9,400.00",19,"178,600.00"
EASTERN,ATIWA,2008,CASSAVA,"6,600.00",15,"99,000.00"
EASTERN,KWAEBIBIREM,2008,CASSAVA,"8,500.00",20,"170,000.00"
EASTERN,BIRIM NORTH,2008,CASSAVA,"10,026.00",16,"160,416.00"
EASTERN,KWAHU WEST,2008,CASSAVA,"8,200.00",16,"131,200.00"
EASTERN,KWAHU WEST,2008,CASSAVA,"13,671.00",15.3,"209,166.30"
EASTERN,FANTEAKWA,2008,CASSAVA,"11,324.00",15,"169,860.00"
EASTERN,AFRAM PLAINS,2008,CASSAVA,"15,465.00",13.2,"204,138.00"
EASTERN,ASUOGYAMAN,2008,CASSAVA,"11,057.00",13.3,"147,058.10"
EASTERN,MANYA KROBO,2008,CASSAVA,"11,419.00",13.7,"156,440.30"
EASTERN,BIRIM SOUTH,2008,YAM,"1,300.00",13,"16,900.00"
EASTERN,WEST AKIM,2008,YAM,700,19.7,"13,790.00"
EASTERN,SUHUM KRABOA COALTAR,2008,YAM,350,15.4,"5,390.00"
EASTERN,AKUAPIM SOUTH,2008,YAM,250,15,"3,750.00"
EASTERN,AKUAPIM NORTH,2008,YAM,250,15,"3,750.00"
EASTERN,NEW JUABEN,2008,YAM,300,15,"4,500.00"
EASTERN,YILO KROBO,2008,YAM,"1,735.00",12.4,"21,514.00"
EASTERN,EAST AKIM,2008,YAM,500,13,"6,500.00"
EASTERN,ATIWA,2008,YAM,475,14,"6,650.00"
EASTERN,KWAEBIBIREM,2008,YAM,300,14,"4,200.00"
EASTERN,BIRIM NORTH,2008,YAM,800,12,"9,600.00"
EASTERN,KWAHU WEST,2008,YAM,"1,250.00",13.5,"16,875.00"
EASTERN,KWAHU WEST,2008,YAM,"1,150.00",14,"16,100.00"
EASTERN,FANTEAKWA,2008,YAM,"1,498.00",13.6,"20,372.80"
EASTERN,AFRAM PLAINS,2008,YAM,"26,000.00",19.4,"504,400.00"
EASTERN,ASUOGYAMAN,2008,YAM,724,17.2,"12,452.80"
EASTERN,MANYA KROBO,2008,YAM,"1,100.00",18.3,"20,130.00"
VOLTA,NORTH TONGU,2008,MAIZE,"1,283.00",1.2,"1,539.60"
VOLTA,SOUTH TONGU (SOGAKOPE),2008,MAIZE,"1,518.00",1.1,"1,669.80"
VOLTA,AKATSI,2008,MAIZE,"2,571.00",1.5,"3,856.50"
VOLTA,KETA,2008,MAIZE,677,1,677
VOLTA,KETU,2008,MAIZE,"5,400.00",1.2,"6,480.00"
VOLTA,NORTH DAYI (KPANDO),2008,MAIZE,"2,522.00",1.52,"3,833.44"
VOLTA,SOUTH DAYI,2008,MAIZE,"1,750.00",1.2,"2,100.00"
VOLTA,HOHOE MUNICIPAL,2008,MAIZE,"6,800.00",1.7,"11,560.00"
VOLTA,JASIKAN,2008,MAIZE,"3,040.00",1.9,"5,776.00"
VOLTA,KADJEBI,2008,MAIZE,"3,072.00",1.8,"5,529.60"
VOLTA,NKWANTA,2008,MAIZE,"8,200.00",1.9,"15,580.00"
VOLTA,KRACHI WEST,2008,MAIZE,"2,200.00",2.2,"4,840.00"
VOLTA,KRACHI EAST,2008,MAIZE,"1,570.00",2,"3,140.00"
VOLTA,HO MUNICIPAL,2008,MAIZE,"2,756.00",1.26,"3,472.56"
VOLTA,ADAKLU ANYIGBE,2008,MAIZE,"1,869.00",1.5,"2,803.50"
VOLTA,NORTH TONGU,2008,RICE,"1,400.00",1.5,"2,100.00"
VOLTA,SOUTH TONGU (SOGAKOPE),2008,RICE,110,1.6,176
VOLTA,KETU,2008,RICE,"1,400.00",5,"7,000.00"
VOLTA,NORTH DAYI (KPANDO),2008,RICE,456,2.2,"1,003.20"
VOLTA,SOUTH DAYI,2008,RICE,300,1,300
VOLTA,HOHOE MUNICIPAL,2008,RICE,"5,750.00",2.5,"14,375.00"
VOLTA,JASIKAN,2008,RICE,"1,730.00",2.5,"4,325.00"
VOLTA,KADJEBI,2008,RICE,"1,947.00",2.1,"4,088.70"
VOLTA,NKWANTA,2008,RICE,"2,000.00",2,"4,000.00"
VOLTA,KRACHI WEST,2008,RICE,"1,400.00",2.1,"2,940.00"
VOLTA,KRACHI EAST,2008,RICE,"1,010.00",2.4,"2,424.00"
VOLTA,HO MUNICIPAL,2008,RICE,381,2,762
VOLTA,ADAKLU ANYIGBE,2008,RICE,250,1.8,450
VOLTA,NORTH TONGU,2008,CASSAVA,"2,518.00",9.2,"23,165.60"
VOLTA,SOUTH TONGU (SOGAKOPE),2008,CASSAVA,"2,580.00",10,"25,800.00"
VOLTA,AKATSI,2008,CASSAVA,"2,625.00",11.9,"31,237.50"
VOLTA,KETA,2008,CASSAVA,"1,260.00",7.8,"9,828.00"
VOLTA,KETU,2008,CASSAVA,"10,165.00",10.9,"110,798.50"
VOLTA,NORTH DAYI (KPANDO),2008,CASSAVA,"4,520.00",10,"45,200.00"
VOLTA,SOUTH DAYI,2008,CASSAVA,"1,300.00",10.5,"13,650.00"
VOLTA,HOHOE MUNICIPAL,2008,CASSAVA,"9,200.00",9,"82,800.00"
VOLTA,JASIKAN,2008,CASSAVA,"6,350.00",15,"95,250.00"
VOLTA,KADJEBI,2008,CASSAVA,"4,320.00",13.7,"59,184.00"
VOLTA,NKWANTA,2008,CASSAVA,"30,300.00",17,"515,100.00"
VOLTA,KRACHI WEST,2008,CASSAVA,"11,100.00",13.3,"147,630.00"
VOLTA,KRACHI EAST,2008,CASSAVA,"9,300.00",15,"139,500.00"
VOLTA,HO MUNICIPAL,2008,CASSAVA,"3,680.00",12,"44,160.00"
VOLTA,ADAKLU ANYIGBE,2008,CASSAVA,"1,300.00",10.71,"13,923.00"
VOLTA,NORTH DAYI (KPANDO),2008,YAM,600,8.5,"5,100.00"
VOLTA,SOUTH DAYI,2008,YAM,35,9,315
VOLTA,HOHOE MUNICIPAL,2008,YAM,"1,300.00",8,"10,400.00"
VOLTA,JASIKAN,2008,YAM,"1,200.00",11,"13,200.00"
VOLTA,KADJEBI,2008,YAM,"1,021.00",9.8,"10,005.80"
VOLTA,NKWANTA,2008,YAM,"8,600.00",17.5,"150,500.00"
VOLTA,KRACHI WEST,2008,YAM,"5,800.00",13,"75,400.00"
VOLTA,KRACHI EAST,2008,YAM,"6,100.00",13,"79,300.00"
VOLTA,HO MUNICIPAL,2008,YAM,792,9,"7,128.00"
VOLTA,ADAKLU ANYIGBE,2008,YAM,99,8.5,841.5
ASHANTI,BEKWAI MUNI (AMANSIE EAST),2008,MAIZE,"4,500.00",1.2,"5,400.00"
ASHANTI,AMANSIE CENTRAL,2008,MAIZE,"4,360.00",1.2,"5,232.00"
ASHANTI,AMANSIE WEST,2008,MAIZE,"2,670.00",1.2,"3,204.00"
ASHANTI,EJURA SEKYEREDUMASE,2008,MAIZE,"17,500.00",1.25,"21,875.00"
ASHANTI,SEKYERE WEST ,2008,MAIZE,"10,200.00",1.25,"12,750.00"
ASHANTI,SEKYERE EAST,2008,MAIZE,"9,400.00",1.25,"11,750.00"
ASHANTI,AFIGYA SEKYERE,2008,MAIZE,"18,001.00",1.3,"23,401.30"
ASHANTI,AHAFO ANO NORTH,2008,MAIZE,"16,001.00",1.3,"20,801.30"
ASHANTI,AHAFO ANO SOUTH,2008,MAIZE,"9,886.00",1.3,"12,851.80"
ASHANTI,ATWIMA MPONUA,2008,MAIZE,"3,500.00",1.3,"4,550.00"
ASHANTI,ATWIMA NWABIAGYA,2008,MAIZE,"6,556.00",1.3,"8,522.80"
ASHANTI,EJUSU JUABEN,2008,MAIZE,"3,660.00",1.25,"4,575.00"
ASHANTI,BOSUMTWE-ATWIMA-KWANWOMA,2008,MAIZE,"3,800.00",1.25,"4,750.00"
ASHANTI,KWABRE ,2008,MAIZE,"1,150.00",1.25,"1,437.50"
ASHANTI,OFFINSO,2008,MAIZE,"8,240.00",1.25,"10,300.00"
ASHANTI,ADANSI NORTH,2008,MAIZE,"3,750.00",1.2,"4,500.00"
ASHANTI,OBUASI MUNICIPAL (ADANSI WEST),2008,MAIZE,945,1.2,"1,134.00"
ASHANTI,ADANSI  SOUTH,2008,MAIZE,"5,358.00",1.2,"6,429.60"
ASHANTI,ASANTE AKIM NORTH,2008,MAIZE,"7,895.00",1.25,"9,868.75"
ASHANTI,ASANTE AKIM SOUTH,2008,MAIZE,"6,650.00",1.25,"8,312.50"
ASHANTI,KUMASI METROPOLITAN ASSEMBLY,2008,MAIZE,"1,002.00",1.2,"1,202.40"
ASHANTI,BEKWAI MUNI (AMANSIE EAST),2008,RICE,360,0.98,352.8
ASHANTI,AMANSIE CENTRAL,2008,RICE,30,1,30
ASHANTI,AMANSIE WEST,2008,RICE,180,1,180
ASHANTI,EJURA SEKYEREDUMASE,2008,RICE,850,1.2,"1,020.00"
ASHANTI,SEKYERE WEST ,2008,RICE,26,1,26
ASHANTI,SEKYERE EAST,2008,RICE,160,1,160
ASHANTI,AFIGYA SEKYERE,2008,RICE,185,1,185
ASHANTI,AHAFO ANO NORTH,2008,RICE,350,1.2,420
ASHANTI,AHAFO ANO SOUTH,2008,RICE,555,1.4,777
ASHANTI,ATWIMA MPONUA,2008,RICE,740,1.1,814
ASHANTI,ATWIMA NWABIAGYA,2008,RICE,"1,010.00",1.3,"1,313.00"
ASHANTI,EJUSU JUABEN,2008,RICE,520,1.4,728
ASHANTI,BOSUMTWE-ATWIMA-KWANWOMA,2008,RICE,448,1,448
ASHANTI,KWABRE ,2008,RICE,135,0.85,114.75
ASHANTI,OFFINSO,2008,RICE,298,1,298
ASHANTI,ADANSI NORTH,2008,RICE,256,1,256
ASHANTI,OBUASI MUNICIPAL (ADANSI WEST),2008,RICE,76,1,76
ASHANTI,ADANSI  SOUTH,2008,RICE,"1,400.00",1.1,"1,540.00"
ASHANTI,ASANTE AKIM NORTH,2008,RICE,"1,350.00",1.1,"1,485.00"
ASHANTI,ASANTE AKIM SOUTH,2008,RICE,355,1,355
ASHANTI,KUMASI METROPOLITAN ASSEMBLY,2008,RICE,10,1,10
ASHANTI,BEKWAI MUNI (AMANSIE EAST),2008,CASSAVA,"5,880.00",10.1,"59,388.00"
ASHANTI,AMANSIE CENTRAL,2008,CASSAVA,"5,680.00",8.33,"47,314.40"
ASHANTI,AMANSIE WEST,2008,CASSAVA,"3,066.00",8.86,"27,164.76"
ASHANTI,EJURA SEKYEREDUMASE,2008,CASSAVA,"3,250.00",6.74,"21,905.00"
ASHANTI,SEKYERE WEST ,2008,CASSAVA,"7,650.00",10.56,"80,784.00"
ASHANTI,SEKYERE EAST,2008,CASSAVA,"5,850.00",9.88,"57,798.00"
ASHANTI,AFIGYA SEKYERE,2008,CASSAVA,"7,250.00",9.57,"69,382.50"
ASHANTI,AHAFO ANO NORTH,2008,CASSAVA,"6,960.00",9.99,"69,530.40"
ASHANTI,AHAFO ANO SOUTH,2008,CASSAVA,"10,002.00",9.15,"91,518.30"
ASHANTI,ATWIMA MPONUA,2008,CASSAVA,"5,006.00",11.8,"59,070.80"
ASHANTI,ATWIMA NWABIAGYA,2008,CASSAVA,"9,655.00",12.11,"116,922.05"
ASHANTI,EJUSU JUABEN,2008,CASSAVA,"5,660.00",10.61,"60,052.60"
ASHANTI,BOSUMTWE-ATWIMA-KWANWOMA,2008,CASSAVA,"4,860.00",9.59,"46,607.40"
ASHANTI,KWABRE ,2008,CASSAVA,"6,160.00",11.39,"70,162.40"
ASHANTI,OFFINSO,2008,CASSAVA,"6,200.00",10.54,"65,348.00"
ASHANTI,ADANSI NORTH,2008,CASSAVA,"4,908.00",10.78,"52,908.24"
ASHANTI,OBUASI MUNICIPAL (ADANSI WEST),2008,CASSAVA,305,10.21,"3,114.05"
ASHANTI,ADANSI  SOUTH,2008,CASSAVA,"4,850.00",12.22,"59,267.00"
ASHANTI,ASANTE AKIM NORTH,2008,CASSAVA,"4,500.00",13.34,"60,030.00"
ASHANTI,ASANTE AKIM SOUTH,2008,CASSAVA,"6,750.00",9.6,"64,800.00"
ASHANTI,KUMASI METROPOLITAN ASSEMBLY,2008,CASSAVA,"2,500.00",8.86,"22,150.00"
ASHANTI,BEKWAI MUNI (AMANSIE EAST),2008,YAM,298,11.43,"3,406.14"
ASHANTI,AMANSIE CENTRAL,2008,YAM,760,9.27,"7,045.20"
ASHANTI,AMANSIE WEST,2008,YAM,850,8.91,"7,573.50"
ASHANTI,EJURA SEKYEREDUMASE,2008,YAM,"9,680.00",14.68,"142,102.40"
ASHANTI,SEKYERE WEST ,2008,YAM,"6,690.00",12.51,"83,691.90"
ASHANTI,SEKYERE EAST,2008,YAM,"3,125.00",11.95,"37,343.75"
ASHANTI,AFIGYA SEKYERE,2008,YAM,"2,155.00",11.69,"25,191.95"
ASHANTI,AHAFO ANO NORTH,2008,YAM,790,10.51,"8,302.90"
ASHANTI,AHAFO ANO SOUTH,2008,YAM,444,10.73,"4,764.12"
ASHANTI,ATWIMA MPONUA,2008,YAM,460,11.85,"5,451.00"
ASHANTI,ATWIMA NWABIAGYA,2008,YAM,"1,240.00",9.79,"12,139.60"
ASHANTI,EJUSU JUABEN,2008,YAM,360,10.56,"3,801.60"
ASHANTI,BOSUMTWE-ATWIMA-KWANWOMA,2008,YAM,655,10.09,"6,608.95"
ASHANTI,KWABRE ,2008,YAM,202,8.34,"1,684.68"
ASHANTI,OFFINSO,2008,YAM,988,11.85,"11,707.80"
ASHANTI,ADANSI NORTH,2008,YAM,570,9.48,"5,403.60"
ASHANTI,OBUASI MUNICIPAL (ADANSI WEST),2008,YAM,405,9.06,"3,669.30"
ASHANTI,ADANSI  SOUTH,2008,YAM,760,9.79,"7,440.40"
ASHANTI,ASANTE AKIM NORTH,2008,YAM,780,10.66,"8,314.80"
ASHANTI,ASANTE AKIM SOUTH,2008,YAM,265,10.3,"2,729.50"
ASHANTI,KUMASI METROPOLITAN ASSEMBLY,2008,YAM,20,8.76,175.2
BRONG AHAFO, SUNYANI MUNICIPAL ,2008,MAIZE,"31,730.00",1.36,"43,152.80"
BRONG AHAFO,ASUTIFI,2008,MAIZE,"6,711.00",1.4,"9,395.40"
BRONG AHAFO, WENCHI MUNICIPAL ,2008,MAIZE,"9,200.00",1.38,"12,696.00"
BRONG AHAFO,DORMA AHENKRO,2008,MAIZE,"32,850.00",2.2,"72,270.00"
BRONG AHAFO,BEREKUM,2008,MAIZE,"7,547.00",1.8,"13,584.60"
BRONG AHAFO,TANO NORTH,2008,MAIZE,"3,850.00",2.1,"8,085.00"
BRONG AHAFO,TANO SOUTH,2008,MAIZE,"4,500.00",2.1,"9,450.00"
BRONG AHAFO,SENE,2008,MAIZE,"5,500.00",1.9,"10,450.00"
BRONG AHAFO,NKORANZA,2008,MAIZE,"31,133.00",2.4,"74,719.20"
BRONG AHAFO,TECHIMAN MUNICIPAL,2008,MAIZE,"12,500.00",2.2,"27,500.00"
BRONG AHAFO,ASUNAFO NORTH,2008,MAIZE,"4,700.00",1.85,"8,695.00"
BRONG AHAFO,ASUNAFO SOUTH,2008,MAIZE,"4,750.00",1.95,"9,262.50"
BRONG AHAFO,JAMAN NORTH,2008,MAIZE,"3,620.00",2,"7,240.00"
BRONG AHAFO,JAMAN SOUTH,2008,MAIZE,"5,927.00",2,"11,854.00"
BRONG AHAFO,KINTAMPO NORTH,2008,MAIZE,"22,231.00",2.2,"48,908.20"
BRONG AHAFO,KINTAMPO SOUTH,2008,MAIZE,"12,200.00",2,"24,400.00"
BRONG AHAFO,ATEBUBU -AMANTIN,2008,MAIZE,"1,300.00",2.1,"2,730.00"
BRONG AHAFO,PRU,2008,MAIZE,"2,050.00",2.1,"4,305.00"
BRONG AHAFO,TAIN,2008,MAIZE,"2,100.00",1.9,"3,990.00"
BRONG AHAFO,ASUTIFI,2008,RICE,152,1.46,221.92
BRONG AHAFO,DORMA AHENKRO,2008,RICE,950,1.1,"1,045.00"
BRONG AHAFO,TANO NORTH,2008,RICE,138,1.75,241.5
BRONG AHAFO,TANO SOUTH,2008,RICE,94,1.75,164.5
BRONG AHAFO,SENE,2008,RICE,"1,710.00",1.4,"2,394.00"
BRONG AHAFO,ASUNAFO NORTH,2008,RICE,102,1.08,110.16
BRONG AHAFO,ASUNAFO SOUTH,2008,RICE,98,1.08,105.84
BRONG AHAFO,KINTAMPO NORTH,2008,RICE,38,1.5,57
BRONG AHAFO,ATEBUBU -AMANTIN,2008,RICE,190,1.7,323
BRONG AHAFO,PRU,2008,RICE,95,1.55,147.25
BRONG AHAFO, SUNYANI MUNICIPAL ,2008,CASSAVA,"9,350.00",10.6,"99,110.00"
BRONG AHAFO,ASUTIFI,2008,CASSAVA,"12,987.00",16.8,"218,181.60"
BRONG AHAFO, WENCHI MUNICIPAL ,2008,CASSAVA,"9,693.00",13.6,"131,824.80"
